RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity
-0.002404811,0.00732604,-0.010402828,0.020302906,-0.001193012,-0.004672906,0.022077941,0.007441895,0.031569503,-0.010492371,-0.026184009,-0.001399972,0.002207994,0,-0.002938154,-0.012151489,0.000931359,-0.008023765,0.011001375,-0.00123839,-0.028383169,0.003494841
-0.012599101,-0.005227403,-0.012022988,-0.008473974,0.013718566,-0.004989005,-0.011203344,-0.032975197,-0.010120484,-0.004489183,0.001934611,-0.003649127,0.032014019,0,-0.006938833,-0.01277928,-0.033509998,-0.015531551,0.006998445,-0.008711941,0.021092333,0.002955771
0.029312582,0.004879759,0.015155215,0.042263011,-0.00042061,0.029567371,-0.005875723,-0.018366877,0.029548586,0.035221435,0.007317575,-0.000281254,0.011785453,0,0.039078253,0.013473676,0.047285466,0.024597164,0.027442623,0.02804066,0.005473104,-0.002638663
-0.015750863,0.033843599,0.007418432,-0.027061182,-0.03101885,-0.002574004,0.017969935,0.037342778,-0.016654175,-0.047928829,-0.004037302,0.009518549,0.016435858,0,-0.034791159,0.005896782,0.007318668,0.014815086,-0.026635431,0.077444848,0.043214103,-0.020500398
0.003841234,0.001679262,-0.005632983,0.01542447,0.008641602,0.017599092,-0.005580995,0.002815581,-0.001386002,-0.005453621,-0.005602256,0.008876619,-0.011592214,0,-0.006660278,-0.000220848,0.003185151,0.00443611,0.002637171,0.050181878,-0.019999067,-0.003025067
0.016162608,0.004352928,0.028719923,0.015042357,0.009846391,0.004491866,0.004467285,0.006539024,-0.001214329,0.00926818,0.038572275,-0.005538646,0.037825914,0,0.037168164,-0.003457101,0.02290485,0.023221639,0.012432455,-0.012649879,-0.01096814,0.025109498
0.023764417,0.019193177,0.007339747,-0.005038541,0.019657274,-0.003929278,0.000222841,-0.00747667,0.01686787,-0.004549799,0.007243044,-0.018498285,0.002928851,0,0.03320975,0.004147089,-0.005074571,-0.003332226,0.008919639,-0.019418086,0.01435606,0.020367303
0.025759,-0.004928546,-0.001147776,0.018254592,0.009395986,0.013685453,0.000668226,0.05386971,0.025612183,-0.003831987,-0.013037994,-0.001132182,0.012029014,0,0.002488251,-0.001021352,0.004097271,-0.032912216,0.00798863,0.012078105,-0.016646075,-0.030229002
0.007006066,0.005583854,-0.013004084,-0.003507237,0.026703093,0.00442846,-0.001113958,-0.009825894,0.021559298,0.0133482,0.02133068,0.028477636,9.96E-05,0,-0.006093358,0.028371856,-0.01405385,0.007560173,0.005314074,-0.024303875,0.007423455,-0.008561696
-0.005511297,-0.000655308,-0.019383867,-0.004401416,-0.009309924,-0.010549792,0.009098032,-0.020862435,0.016150222,-0.022247695,0.081044507,-0.014416662,0.010801274,0,-0.005432147,0.008686991,-0.001443392,-0.013094605,-0.005456169,0.027844666,-0.008980385,-0.011349633
0.010401282,0.00588237,-0.00893661,0.028983336,-0.003830017,-0.001955581,-0.002432822,0.080113212,-0.014198367,0.000297929,-0.036712438,0.002788624,0.019617083,0,-0.012790954,0.008823236,0.002794683,0,-0.008849615,0.012429233,-0.006004542,0.003580927
-0.010251928,-0.026078388,-0.001047826,-0.007023608,-0.004746715,0.022671693,-0.002438755,0.060724149,-0.00930543,-0.007474994,-0.015926721,-0.005585047,-0.02188656,0,-0.009808878,-0.0190416,0.014922316,-0.003474639,-0.00777206,0.00375235,0.002718848,-0.008594015
